,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
1809102,6243,2015,2457304.5,282,1732,11.0,Powerline,2457304.5,282.0,1940,3.0,B,32.79235,-94.42921667
1062551,DEEP CREEK,2004,2453249.5,245,1135,2.0,Equipment Use,2453252.5,248.0,1700,3740.0,F,46.47861111,-103.5425
1348097,,2002,2452549.5,275,1540,9.0,Miscellaneous,2452549.5,275.0,1540,0.1,A,40.85133562,-73.16192565
706499,,1996,2450158.5,76,1530,7.0,Arson,2450158.5,76.0,1746,70.0,C,30.39977973,-89.16880162
535054,,2009,2454886.5,55,,7.0,Arson,,,,0.1,A,35.98027,-82.11715
613849,,1999,2451508.5,330,,2.0,Equipment Use,,,,40.0,C,33.05208,-94.48541
462685,,1996,2450317.5,235,,13.0,Missing/Undefined,,,,0.1,A,47.645903,-117.025846
1479492,OAK,2011,2455827.5,266,1412,13.0,Missing/Undefined,,,,1.0,B,35.665904,-120.725546
25088,HOGBACK RIDGE,2007,2454322.5,222,1040,1.0,Lightning,2454323.5,223.0,1200,0.25,A,46.45333333,-113.68222222
175089,2ND HUNTLY,1995,2449810.5,93,2202,7.0,Arson,2449810.5,93.0,2235,0.1,A,45.2667,-67.6161
790100,,1992,2448661.5,40,1330,7.0,Arson,,,,1.0,B,36.67290534,-92.50621946
874158,,1999,2451253.5,75,,5.0,Debris Burning,,,,0.1,A,34.6869,-84.4483
641372,,2008,2454475.5,10,,9.0,Miscellaneous,,,,0.05,A,30.10861,-97.33305
1823209,,2015,2457114.5,92,1502,5.0,Debris Burning,2457114.5,92.0,1627,0.5,B,47.24312856,-91.3270381
739714,,1993,2449195.5,208,,13.0,Missing/Undefined,2449195.5,208.0,1152,1.0,B,34.25833333,-81.42916667
167943,BSFMU05,2004,2453175.5,171,1458,1.0,Lightning,2453175.5,171.0,2030,0.1,A,41.69527778,-120.93805556
538433,,2006,2453799.5,64,,5.0,Debris Burning,,,,0.25,A,39.88416999,-74.71333998
365071,JULY 4TH,2001,2452094.5,185,1600,1.0,Lightning,,,,15.0,C,29.9575,-93.5913
866867,,2002,2452599.5,325,,2.0,Equipment Use,,,,60.0,C,34.4972,-92.5764
1633588,2012103,2012,2456175.5,249,,2.0,Equipment Use,,,,5.0,B,33.836344,-97.620735
1863581,,2002,2452543.5,269,,13.0,Missing/Undefined,,,,0.2,A,21.4568176,-158.2006683
1211733,145,2010,2455487.5,291,2030,7.0,Arson,2455487.5,291.0,2230,1.0,B,47.9078,-98.8453
1675895,ANTLER RUN,2013,2456381.5,89,1329,5.0,Debris Burning,2456381.5,89.0,1345,0.2,A,36.22211667,-80.81955
496428,,1994,2449452.5,100,,5.0,Debris Burning,,,,10.0,C,48.826427,-95.713198
